M,K1,K2,N,intermediate_size,intermediate_bytes,flops,bytes_fused,bytes_separate,ai_fused,ai_separate,separate_ms,separate_std,fused_ms,fused_std,difference_ms,fusion_effective
1,4096,14336,4096,14336,28672,234881024,234897408,234954752,1.0,1.0,1.281,0.019,1.213,0.018,0.068,False
512,4096,14336,4096,7340032,14680064,120259084288,243269632,272629760,494.345,441.108,2.583,0.028,2.545,0.023,0.038,False
1024,4096,14336,4096,14680064,29360128,240518168576,251658240,310378496,955.733,774.919,5.066,0.027,4.962,0.027,0.104,False
1025,4096,14336,4096,14694400,29388800,240753049600,251674624,310452224,956.604,775.491,5.983,0.017,5.84,0.029,0.143,False
1536,4096,14336,4096,22020096,44040192,360777252864,260046848,348127232,1387.355,1036.337,7.484,0.022,7.313,0.036,0.172,False
2048,4096,14336,4096,29360128,58720256,481036337152,268435456,385875968,1792.0,1246.609,10.042,0.044,9.536,0.029,0.506,False
2049,4096,14336,4096,29374464,58748928,481271218176,268451840,385949696,1792.766,1246.979,10.779,0.037,10.461,0.035,0.319,False
3072,4096,14336,4096,44040192,88080384,721554505728,285212672,461373440,2529.882,1563.927,15.294,0.045,14.218,0.039,1.076,False
4096,4096,14336,4096,58720256,117440512,962072674304,301989888,536870912,3185.778,1792.0,20.035,0.041,18.981,0.037,1.054,False
4097,4096,14336,4096,58734592,117469184,962307555328,302006272,536944640,3186.383,1792.191,20.326,0.041,19.642,0.042,0.684,False
6144,4096,14336,4096,88080384,176160768,1443109011456,335544320,687865856,4300.8,2097.951,29.972,0.05,28.452,0.061,1.521,False
8192,4096,14336,4096,117440512,234881024,1924145348608,369098752,838860800,5213.091,2293.76,41.24,0.061,37.681,0.049,3.559,False
